S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26
2953	2	-3.3785827696835278	-5.438547333424716	3.0919679492854084	2.1558860306114918	-1.9402298158700118	0.6077443530435004	5.048195493957216	-2.7359669662110186																																																																																																
1896	2	-0.5192439648672921	-1.9580782165996586	-8.141262283492493	3.2284940130635738	-3.962651963069154	3.372072170990041	-7.098991970400151	-0.4053490198246535																																																																																																
7067	3	3.2708601837045146	-5.244581083150659	0.8895581136084898	-4.03997688178356	0.6977628829836172	-5.776391719614971	-4.587291896818918	1.5059611136341295	-3.28587640455927	-0.25147949523266816	-9.744508167532866	5.700854904641634																																																																																												
1056	2	1.5878663817038765	-4.536256809507133	-4.564952656870972	3.6949252213841044	-1.5218813902307111	-5.294033673450355	0.5628039207603517	4.317114231522671																																																																																																
7340	2	3.2586953971182093	2.331968333994038	-7.882240263651583	-0.05338157688465188	2.239963845553786	-2.628372237449192	-5.077383993066955	3.497292984640116																																																																																																
2755	4	-3.4428204914799534	0.46908811046706494	1.513126113214638	-4.329923363979855	-3.5986346912700875	4.0949588144481925	-7.207993095348235	0.3784603108953741	2.909246446769041	1.6645143102497593	-3.9492472153443687	-6.161734933421429	0.6830885126652186	-3.0578584692066317	0.9535606708747324	-4.998675140559957																																																																																								
1557	2	0.22155758131713174	-7.150338444448148	-7.067769396084342	6.558324608436964	5.898540549101606	-1.5564601445299127	-3.552059358295963	-2.165010468502326																																																																																																
1334	1	2.5727227706431917	-6.4069624824535865	-5.57977045786123	1.601196811587738																																																																																																				
6764	1	-5.981313032377106	3.4542746513751785	-7.841885626024131	4.520374133473062																																																																																																				
805	1	-1.0631903774499052	5.501260897318391	-2.345593923762892	-1.528003521120128																																																																																																				
3057	2	-4.12251149355405	1.1332279204375804	-6.431208427887926	2.0724570806256546	0.5783389491411172	-2.8237073393952548	-5.189268086598162	1.7323994926671378																																																																																																
1353	4	3.890216072882495	-3.50388664189718	-4.673691036239561	2.0680926105799897	-0.4982438754028663	0.22593034410254498	-7.553512415120922	4.784640537427099	3.872974526545092	-2.365260062222187	-0.38363270634059504	-2.287744484486128	3.590256498925848	2.6969952040941036	-5.591795726442066	-4.252193975630689																																																																																								
5416	1	2.6389468481982856	3.106710457354533	-5.332170285563806	-5.312978834519587																																																																																																				
4813	2	1.5892863558911055	-1.0910082028812056	-6.106253179674615	-1.423852314824639	-5.476590525210671	3.3144645567199538	0.9746346165359189	-5.478412307911742																																																																																																
1798	3	1.0935092360750958	-5.34407740587503	-4.747026924787316	2.545638459530784	-2.9166008655789737	-3.5569884735037096	1.3032756094668505	1.9339088128018997	3.0026165847621757	-3.7448644302458938	-0.060439985580066254	-3.4602380879611347																																																																																												
3327	2	6.756283643197535	1.4848364444314173	-6.992722971761118	-5.547787426566915	8.165359392053302	-2.499028911426334	-2.190560084817928	-0.6683118935952451																																																																																																
2227	4	0.7817232094739172	-4.2167200933265905	3.9679244535223983	-2.534027751444498	-4.754580775664403	-5.85968378144337	0.03808326160444658	2.5805049593156997	0.3117651300110545	-3.9156206952980575	-2.5025531371698757	3.62768588037333	-1.4559465428181877	-0.0749093791062841	-2.0888306564648693	3.1136618658101787																																																																																								
3609	2	-2.920776463898356	0.9865773079831388	2.2119186177466874	-5.367955810032168	1.660919063765241	-4.942849704890777	1.6823900743503704	-5.614808396761944																																																																																																
2413	1	-3.27857701986605	-4.709279392566639	5.367091694399289	0.5862713601595426																																																																																																				
6148	3	-7.135897520340493	0.9630557761156091	-5.1827679849126875	1.8653094038233915	-8.05895314038963	-5.279411217085011	0.17567805328683994	4.639152420372257	-7.781080166127354	0.14008056940209893	1.128443248578555	-1.293249687554269																																																																																												
3365	4	-4.9792916871477235	-6.034832884359905	3.056029740666374	2.969074815847615	-5.23430868522884	0.38736651736913075	1.0518169812135612	-2.4882923283221445	1.3160385127309442	-12.33301763720024	-2.7886443264944405	1.7559750293054326	0.6477492103030847	-5.7671188830157165	1.2115272155188328	-2.294890668193508																																																																																								
2490	2	8.562339795350352	-5.192431046591777	-0.9696783064231576	-1.5332915355669128	2.6311938599651294	-6.361491383486318	-3.8392434127130572	2.4447692245962416																																																																																																
5951	1	-6.087183163552184	2.7115205532272086	1.6849574414526711	-4.810981780974131																																																																																																				
4704	1	2.4369933969674134	-1.9826315205459741	-7.280946167585368	4.175378684092751																																																																																																				
6327	2	2.501460492918513	2.3411261663470917	-1.6911257686762855	-6.053937131755951	-3.877747607332232	6.952940117593223	1.536967275373687	-5.351838724125257																																																																																																
2991	2	1.9561529156204849	1.6890382033853135	-5.794262370928924	-5.686557902102361	3.1093384765057186	-4.862333911738681	-4.906616483282389	0.8355806339175856																																																																																																
6758	2	-6.225337779158102	4.289398743372683	3.6721132978697115	-4.36367289479604	-5.0083046471059145	-1.4975019661125184	3.2358684033513283	1.5166212086450084																																																																																																
